symbol,sector,companyname,address,previousclose,dividend_yield,fifty_two_week_high,fifty_two_week_low,two_hundered_day_average,market_cap,environment_score,social_score,governance_score,profit_margins,book_value,trailing_eps,shares_outstanding,total_cash,debt_to_equity,return_on_equity,earnings_growth,ebitda,current_liabilities,revenue
BIGC,Technology,"BigCommerce Holdings, Inc.","11305 Four Points Drive, Austin, TX",8.52,,24.1,7.745,12.968425,662645312.0,,,,-0.50137,0.618,-1.9,74121400,303513984.0,766.583,-1.52119,,-86598000.0,78786000.0,279075000.0
NUTX,Healthcare,Nutex Health Inc.,"6030 South Rice Avenue, Houston, TX",1.03,,52.8,0.5,1.955015,657435264.0,,,,-1.9370301,0.147,-0.7,650926016,34255264.0,222.062,-2.77479,,1432658.0,54862969.0,219294306.0
HLVX,Healthcare,"HilleVax, Inc.","75 State Street, Boston, MA",16.2,,24.42,7.9,15.876875,648837248.0,,,,0.0,7.097,-6.2,39252100,279400992.0,13.62,-1.91995,,-62612000.0,13046000.0,0.0
SNBR,Consumer Cyclical,Sleep Number Corporation,"1001 Third Avenue South, Minneapolis, MN",29.43,,54.27,23.61,34.3509,690671936.0,,,,0.01732,-19.904,1.58,22014000,1792000.0,,,,133281000.0,929813000.0,2114297000.0
ARQT,Healthcare,"Arcutis Biotherapeutics, Inc.","3027 Townsgate Road, Westlake Village, CA",10.9,,27.4,10.05,18.4111,671911872.0,,,,0.0,3.434,-5.62,61082900,409588992.0,96.642,-1.22801,,-300692992.0,37807000.0,3686000.0
CCSI,Technology,"Consensus Cloud Solutions, Inc.","700 South Flower Street, Los Angeles, CA",32.82,,65.68,29.618,50.929474,688778240.0,,,,0.1998,-12.793,3.62,19916400,94164000.0,,,3.5,167220000.0,71027000.0,362422000.0
IDYA,Healthcare,"IDEAYA Biosciences, Inc.","7000 Shoreline Court, South San Francisco, CA",13.49,,19.14,8.14,15.34395,664356224.0,,,,-1.15166,7.251,-1.41,48387200,364828992.0,0.996,-0.18021,,-60401000.0,31718000.0,50931000.0
INDT,Real Estate,"INDUS Realty Trust, Inc.","641 Lexington Avenue, New York, NY",66.1,0.0109,75.01,48.33,60.62825,677729088.0,,,,0.1242,38.977,0.27,10194400,58985000.0,42.922,0.0070700003,-0.905,24855000.0,12894000.0,49195000.0
TRNS,Industrials,"Transcat, Inc.","35 Vantage Point Drive, Rochester, NY",88.0,,91.71,50.32,75.76205,682841280.0,,,,0.044910002,12.603,1.3,7638900,1593000.0,65.243,0.113120005,0.0,25971000.0,27710000.0,204959000.0
TELL,Energy,Tellurian Inc.,"1201 Louisiana Street, Houston, TX",1.2,,6.53,0.94,2.6176,710455424.0,,,,-0.12708999,1.191,-0.09,563518016,474376992.0,89.006,-0.09132,,26584000.0,297541000.0,391926000.0
PBI,Industrials,Pitney Bowes Inc.,"3001 Summer Street, Stamford, CT",3.77,0.0531,5.72,2.3,3.59705,703685440.0,,,,0.01044,0.349,0.21,175316000,681153024.0,4252.199,0.42635,4.614,290772992.0,1727803000.0,3538042000.0
CYH,Healthcare,"Community Health Systems, Inc.","4000 Meridian Boulevard, Franklin, TN",4.82,,12.12,1.88,3.8852,681212736.0,,,,0.00377,-10.585,0.36,136752992,118000000.0,,,1.305,1168000000.0,2186000000.0,12211000000.0
DCO,Industrials,Ducommun Incorporated,"200 Sandpointe Avenue, Santa Ana, CA",53.75,,58.28,38.89,48.4712,669075904.0,,,,0.0404,43.445,2.32,12229500,46246000.0,54.062,0.057550002,-0.928,77867000.0,199436000.0,712537000.0
GNK,Industrials,Genco Shipping & Trading Limited,"299 Park Avenue, New York, NY",15.31,0.1684,27.15,11.92,16.0326,674137920.0,,,,0.29534,22.856,3.66,42327200,64454000.0,17.672,0.16909,-0.685,219596000.0,36540000.0,536934000.0
OTCM,Financial Services,OTC Markets Group Inc.,"300 Vesey Street, New York, NY",56.02,0.0128999995,64.5,52.3,56.52905,673378304.0,,,,0.32031,2.568,2.53,11918200,37368000.0,44.655,1.12546,-0.058,38810332.0,45848000.0,96201000.0
